Word,POS,NER,Sentence
Delayed,VBN,O,25
payments,NNS,O,25
are,VBP,O,25
reported,VBN,O,25
to,IN,O,25
credit,NN,O,25
bureaus,NN,O,25
.,.,O,25
Important,JJ,O,26
!,.,O,26
Your,PRP$,O,26
payment,NN,O,26
for,IN,O,26
RBL,NNP,CBNK,26
Bank,NNP,CBNK,26
Credit,NNP,O,26
Card,NNP,O,26
XXXXXXXXXXXXXXX6674,NNP,CNUM,26
is,VBZ,O,26
due,JJ,O,26
on,IN,O,26
03,CD,BDD,26
-,HYPH,BDD,26
Feb,NNP,BDD,26
-,HYPH,BDD,26
2024,CD,BDD,26
.,.,O,26
Total,NNP,O,26
Amount,NNP,O,26
due,JJ,O,26
is,VBZ,O,26
Rs,NNS,CDUE,26
.,.,CDUE,26
19456.01,CD,CDUE,26
.,.,O,26
Please,UH,O,26
make,VB,O,26
a,DT,O,26
payment,NN,O,26
for,IN,O,26
Minimum,NNP,O,26
Amount,NNP,O,26
Due,NNP,O,26
of,IN,O,26
Rs,NNPS,MDUE,26
.,.,MDUE,26
972.8,CD,MDUE,26
to,TO,O,26
enjoy,VB,O,26
uninterrupted,JJ,O,26
services,NNS,O,26
on,IN,O,26
your,PRP$,O,26
Card,NN,O,26
by,IN,O,26
visiting,VBG,O,26
https,NN,O,26
:,:,O,26
/,SYM,O,26
/,SYM,O,26
rzp.io,NNP,O,26
/,SYM,O,26
i,PRP,O,26
/,SYM,O,26
4tQBsaJpg,NNP,O,26
to,TO,O,26
pay,VB,O,26
now,RB,O,26
.,.,O,26
Please,UH,O,26
ignore,VB,O,26
if,IN,O,26
already,RB,O,26
paid,VBN,O,26
.,.,O,26
"""",'',O,27
HDFC,NNP,CBNK,27
Bank,NNP,CBNK,27
Credit,NNP,O,27
Card,NNP,O,27
XX1019,NNP,CNUM,27
Statement,NNP,O,27
:,:,O,27
Total,NNP,O,27
due,JJ,O,27
amt,XX,O,27
:,:,O,27
Rs,NNS,CDUE,27
".1,69,808.00",.,CDUE,27
Min,NNP,O,27
due,JJ,O,27
amt,XX,O,27
:,:,O,27
Rs,NNS,MDUE,27
".8,500.00",LS,MDUE,27
Due,JJ,O,27
by,IN,O,27
:,:,O,27
21,CD,BDD,27
-,HYPH,BDD,27
11,CD,BDD,27
-,SYM,BDD,27
2023,CD,BDD,27
.,.,O,27
View,NN,O,27
statement,NN,O,27
here,RB,O,27
:,:,O,27
https,NN,O,27
:,:,O,27
/,SYM,O,27
/,SYM,O,27
cchdfc.in,ADD,O,27
/,SYM,O,27
tD9Fq-bq13b,NNP,O,27
"""",'',O,27
"""",'',O,28
"""",``,O,28
"""",``,O,28
E-Statement,NNP,O,28
Generated,NNP,O,28
!,.,O,28
For,IN,O,28
HDFC,NNP,CBNK,28
Bank,NNP,CBNK,28
Credit,NNP,O,28
Card,NNP,O,28
4117,CD,CNUM,28
.,.,O,28
Due,IN,O,28
date,NN,O,28
:,:,O,28
08,CD,BDD,28
/,SYM,BDD,28
FEB,NNP,BDD,28
/,SYM,BDD,28
2024,CD,BDD,28
.,.,O,28
Total,JJ,O,28
Due,NN,O,28
:,:,O,28
Rs,NNS,CDUE,28
.,.,CDUE,28
-,:,CDUE,28
6869.35,CD,CDUE,28
.,.,O,28
Min,NNP,O,28
Due,NN,O,28
:,:,O,28
Rs,NNS,MDUE,28
.0,CD,MDUE,28
.,.,O,28
For,IN,O,28
Statement,NNP,O,28
:,:,O,28
hdfcbk.io,NNP,O,28
/,SYM,O,28
k,NNP,O,28
/,SYM,O,28
DUvfZQfSl9P,NNP,O,28
"""",'',O,28
"""",``,O,28
"""",``,O,28
Despatched,NNP,O,29
!,.,O,29
Statement,NNP,O,29
for,IN,O,29
HDFC,NNP,CBNK,29
Bank,NNP,CBNK,29
Credit,NNP,O,29
Card,NNP,O,29
5597,CD,CNUM,29
.,.,O,29
Due,IN,O,29
date,NN,O,29
25,CD,BDD,29
/,SYM,BDD,29
APR,NNP,BDD,29
/,SYM,BDD,29
2024,CD,BDD,29
.,.,O,29
Total,JJ,O,29
Due,NNP,O,29
Rs,NNPS,CDUE,29
.8707,NN,CDUE,29
.,.,O,29
Min,NNP,O,29
Due,NNP,O,29
Rs,NNPS,MDUE,29
.,.,MDUE,29
8707,CD,MDUE,29
.,.,O,29
Statement,NNP,O,29
Copy,NNP,O,29
:,:,O,29
hdfcbk.io,NNP,O,29
/,SYM,O,29
k,NNP,O,29
/,SYM,O,29
DUvfZQfSl9P,NNP,O,29
"""",'',O,30
"""",``,O,30
"""",``,O,30
HDFC,NNP,CBNK,30
Bank,NNP,CBNK,30
Credit,NNP,O,30
Card,NNP,O,30
XX9691,NNP,CNUM,30
Statement,NNP,O,30
:,:,O,30
Total,NNP,O,30
due,JJ,O,30
amt,XX,O,30
:,:,O,30
Rs,NNS,CDUE,30
".4,401.00",NNP,CDUE,30
Min,NNP,O,30
due,JJ,O,30
amt,XX,O,30
:,:,O,30
Rs,NNS,MDUE,30
.230.00,.,MDUE,30
Due,JJ,O,30
by,IN,O,30
:,:,O,30
12,CD,BDD,30
-,HYPH,BDD,30
04,CD,BDD,30
-,SYM,BDD,30
2024,CD,BDD,30
.,.,O,30
View,NN,O,30
statement,NN,O,30
here,RB,O,30
:,:,O,30
https,NN,O,30
:,:,O,30
/,SYM,O,30
/,SYM,O,30
cchdfc.in,ADD,O,30
/,SYM,O,30
yCDxY-c1LWO,NN,O,30
"""",``,O,30
"""",``,O,30
"""",``,O,30
"""",``,O,31
Dear,NNP,O,31
Customer,NNP,O,31
",",",",O,31
statement,NN,O,31
for,IN,O,31
your,PRP$,O,31
BoB,NNP,CBNK,31
Credit,NNP,O,31
Card,NNP,O,31
x5031,NNP,CNUM,31
for,IN,O,31
Rs,NNS,CDUE,31
42.09,CD,CDUE,31
is,VBZ,O,31
generated,VBN,O,31
.,.,O,31
Pay,VB,O,31
total,NN,O,31
or,CC,O,31
min,NN,O,31
due,JJ,O,31
of,IN,O,31
Rs,NNS,O,31
42,CD,O,31
by,IN,O,31
05,CD,BDD,31
-,HYPH,BDD,31
07,CD,BDD,31
-,SYM,BDD,31
23,CD,BDD,31
.,.,O,31
Pay,VB,O,31
now,RB,O,31
at,IN,O,31
bobfin.in,ADD,O,31
/,SYM,O,31
BILLPAY,NNP,O,31
"""",'',O,31
"""",``,O,31
"""",``,O,31
"""",``,O,32
Dear,NNP,O,32
Customer,NNP,O,32
",",",",O,32
statement,NN,O,32
for,IN,O,32
your,PRP$,O,32
BoB,NNP,CBNK,32
Credit,NNP,O,32
Card,NNP,O,32
3808,CD,CNUM,32
for,IN,O,32
Rs,NNS,CDUE,32
5972.27,CD,CDUE,32
has,VBZ,O,32
been,VBN,O,32
generated,VBN,O,32
.,.,O,32
Pay,VB,O,32
Total,NNP,O,32
or,CC,O,32
Min,NNP,O,32
Due,NNP,O,32
of,IN,O,32
Rs,NNS,CDUE,32
298.61,CD,CDUE,32
by,IN,O,32
20,CD,BDD,32
-,HYPH,BDD,32
02,CD,BDD,32
-,SYM,BDD,32
24,CD,BDD,32
.,.,O,32
Pay,VB,O,32
now,RB,O,32
at,IN,O,32
bobfin.in,ADD,O,32
/,SYM,O,32
BILLPAY,NNS,O,32
.,.,O,32
View,NNP,O,32
/,SYM,O,32
Download,NNP,O,32
statement,NN,O,32
here,RB,O,32
:,:,O,32
https,NN,O,32
/,SYM,O,32
/,SYM,O,32
bobfin.in,NNP,O,32
/,SYM,O,32
MobileApp,NNP,O,32
"""",'',O,32
"""",``,O,33
05,CD,O,33
/,SYM,O,33
01,CD,O,33
/,SYM,O,33
23,CD,O,33
Stmt,NNP,O,33
Alert,NNP,O,33
:,:,O,33
Total,NNP,O,33
Amount,NNP,O,33
Due,IN,O,33
on,IN,O,33
your,PRP$,O,33
IndusInd,NNP,CBNK,33
Bank,NNP,CBNK,33
Credit,NNP,O,33
Card,NNP,O,33
XXXX9190,NNP,CNUM,33
is,VBZ,O,33
INR,NNP,CDUE,33
2090.98,CD,CDUE,33
and,CC,O,33
Minimum,NNP,O,33
Amount,NNP,O,33
Due,NNP,O,33
is,VBZ,O,33
INR,NNP,MDUE,33
2090.98,CD,MDUE,33
",",",",O,33
payable,JJ,O,33
by,IN,O,33
25,CD,BDD,33
/,SYM,BDD,33
01,CD,BDD,33
/,SYM,BDD,33
23,CD,BDD,33
.,.,O,33
Payment,NN,O,33
to,TO,O,33
be,VB,O,33
made,VBN,O,33
immediately,RB,O,33
if,IN,O,33
previous,JJ,O,33
statement,NN,O,33
dues,NNS,O,33
are,VBP,O,33
unpaid,JJ,O,33
or,CC,O,33
Card,NNP,O,33
account,NN,O,33
is,VBZ,O,33
overlimit,JJ,O,33
.,.,O,33
Click,VB,O,33
https,NN,O,33
:,:,O,33
/,SYM,O,33
/,SYM,O,33
bit.ly,NNP,O,33
/,SYM,O,33
3exupmF,NNS,O,33
to,TO,O,33
pay,VB,O,33
now,RB,O,33
-,:,O,33
IndusInd,NNP,O,33
Bank,NNP,O,33
"""",'',O,33
"""",``,O,34
Payment,NNP,O,34
for,IN,O,34
IndusInd,NNP,CBNK,34
Credit,NNP,O,34
Card,NNP,O,34
7388,CD,CNUM,34
is,VBZ,O,34
due,JJ,O,34
on,IN,O,34
04,CD,BDD,34
-,HYPH,BDD,34
Apr,NNP,BDD,34
-,HYPH,BDD,34
24,CD,BDD,34
.,.,O,34
Total,JJ,O,34
Due,NNP,O,34
-,HYPH,O,34
Rs,NNS,CDUE,34
.,.,CDUE,34
12170.04,CD,CDUE,34
&,CC,O,34
Min,NNP,O,34
Due,NNP,O,34
-,HYPH,O,34
Rs,NNS,MDUE,34
.,.,MDUE,34
608.50,CD,MDUE,34
.,.,O,34
Click,VB,O,34
bit.ly,ADD,O,34
/,SYM,O,34
3exupmF,NNS,O,34
to,TO,O,34
pay,VB,O,34
",",",",O,34
ignore,VB,O,34
if,IN,O,34
paid,VBN,O,34
.,.,O,34
Bank,NNP,O,34
will,MD,O,34
report,VB,O,34
your,PRP$,O,34
Credit,NNP,O,34
Card,NNP,O,34
account,NN,O,34
as,IN,O,34
',``,O,34
Past,JJ,O,34
Due,NNP,O,34
','',O,34
to,IN,O,34
Credit,NNP,O,34
Information,NNP,O,34
Agencies,NNPS,O,34
if,IN,O,34
the,DT,O,34
Minimum,NNP,O,34
Amount,NNP,O,34
Due,NNP,O,34
remains,VBZ,O,34
unpaid,JJ,O,34
for,IN,O,34
more,JJR,O,34
than,IN,O,34
3,CD,O,34
days,NNS,O,34
fromthe,NN,O,34
payment,NN,O,34
due,JJ,O,34
date,NN,O,34
-,:,O,34
IndusInd,NNP,CBNK,34
Bank,NNP,CBNK,34
"""",``,O,34
Mini,NNP,O,35
Statement,NNP,O,35
for,IN,O,35
Card,NNP,O,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
*,NFP,CNUM,35
7865,CD,CNUM,35
.,.,O,35
Total,JJ,O,35
due,JJ,O,35
Rs,NNS,CDUE,35
.30820.54,CD,CDUE,35
.,.,O,35
Minimum,JJ,O,35
due,JJ,O,35
Rs,NNS,MDUE,35
.5976.85,CD,MDUE,35
.,.,O,35
Payment,NN,O,35
due,IN,O,35
on,IN,O,35
08,CD,BDD,35
-,HYPH,BDD,35
DEC,NNP,BDD,35
-,HYPH,BDD,35
23,CD,BDD,35
.,.,O,35
For,IN,O,35
more,JJR,O,35
details,NNS,O,35
:,:,O,35
https,NN,O,35
:,:,O,35
/,SYM,O,35
/,SYM,O,35
citi.asia,NNP,O,35
/,SYM,O,35
INCM,NNP,O,35
"""",'',O,36
Your,PRP$,O,36
AU,NNP,CBNK,36
Altura,NNP,O,36
Credit,NNP,O,36
Card,NNP,O,36
XXxxxx,NNP,O,36
Statement,NNP,O,36
is,VBZ,O,36
here,RB,O,36
!,.,O,36
December,NNP,O,36
xxxx,NN,O,36
Min,NNP,O,37
amt,VBD,O,37
due,JJ,O,37
:,:,O,37
Rs.xxx.xx,NN,O,37
Total,JJ,O,38
amt,NN,O,38
due,JJ,O,38
:,:,O,38
Rs.xx,UH,O,38
",",",",O,38
xxx.xx,``,O,38
Payment,NN,O,39
due,JJ,O,39
date,NN,O,39
:,:,O,39
xx-Jan-xxxx,NNP,O,39
Download,NNP,O,40
here,RB,O,40
https,NN,O,40
:,:,O,40
/,SYM,O,40
/,SYM,O,40
acl.cc,NNP,O,40
/,NFP,O,40
GnkxxleY,JJR,O,40
To,TO,O,40
open,VB,O,40
",",",",O,40
input,NN,O,40
x-character,NNP,O,40
password,NNP,O,40
using,VBG,O,40
first,JJ,O,40
x,NNP,O,40
letters,NNS,O,40
of,IN,O,40
your,PRP$,O,40
name,NN,O,40
in,IN,O,40
UPPERCASE,NNP,O,40
followed,VBN,O,41
by,IN,O,41
first,JJ,O,41
x,SYM,O,41
digit,NN,O,41
of,IN,O,41
your,PRP$,O,41
DOB,NNP,O,41
.,.,O,41
For,IN,O,41
queries,NNS,O,41
",",",",O,41
call,VB,O,42
xxxxxxxxxxxx,NNP,O,42
-,HYPH,O,43
AU,NNP,CBNK,43
Bank,NNP,CBNK,43
"""",'',O,43
"""",``,O,44
Your,PRP$,O,44
AU,NNP,CBNK,44
Business,NNP,O,44
Cashback,NNP,O,44
Credit,NNP,O,44
Card,NNP,O,44
XXxxxx,NNP,O,44
Statement,NNP,O,44
is,VBZ,O,44
here,RB,O,44
!,.,O,44
March,NNP,O,44
xxxx,NN,O,44
Min,NNP,O,44
amt,VBD,O,44
due,JJ,O,44
:,:,O,44
Rs.x,``,O,44
",",",",O,44
xxx.xx,NFP,O,44
Total,JJ,O,44
amt,UH,O,44
due,JJ,O,44
:,:,O,44
Rs.xx,UH,O,44
",",",",O,44
xxx.xx,``,O,44
Payment,NN,O,44
due,JJ,O,44
date,NN,O,44
:,:,O,44
xx-Apr-xxxx,NNP,O,44
Download,NNP,O,44
here,RB,O,44
https,NN,O,44
:,:,O,44
/,SYM,O,44
/,SYM,O,44
acl.cc,NNP,O,44
/,SYM,O,44
xnmMeWML,NNP,O,44
To,TO,O,44
open,VB,O,44
",",",",O,44
input,NN,O,44
x-character,NNP,O,44
password,NNP,O,44
using,VBG,O,44
first,JJ,O,44
x,NNP,O,44
letters,NNS,O,44
of,IN,O,44
your,PRP$,O,44
name,NN,O,44
in,IN,O,44
UPPERCASE,NNP,O,44
followed,VBN,O,44
by,IN,O,44
first,JJ,O,44
x,SYM,O,44
digit,NN,O,44
of,IN,O,44
your,PRP$,O,44
DOB,NNP,O,44
.,.,O,44
For,IN,O,44
queries,NNS,O,44
",",",",O,44
call,VB,O,44
xxxxxxxxxxxx,NNP,O,44
-,HYPH,O,44
AU,NNP,CBNK,44
Bank,NNP,CBNK,44
"""",'',O,44
"""",``,O,45
Your,PRP$,O,45
AU,NNP,CBNK,45
Business,NNP,O,45
Cashback,NNP,O,45
Credit,NNP,O,45
Card,NNP,O,45
XX1234,NNP,CNUM,45
Statement,NNP,O,45
is,VBZ,O,45
here,RB,O,45
!,.,O,45
March,NNP,O,45
2024,CD,O,45
Min,NNP,O,45
amt,VBD,O,45
due,JJ,O,45
:,:,O,45
Rs,NNS,MDUE,45
".1,234.56",LS,MDUE,45
Total,JJ,O,45
amt,UH,O,45
due,JJ,O,45
:,:,O,45
Rs,NNS,CDUE,45
".12,345.67",JJ,CDUE,45
Payment,NN,O,45
due,JJ,O,45
date,NN,O,45
:,:,O,45
15,CD,BDD,45
-,:,BDD,45
Apr,NNP,BDD,45
-,HYPH,BDD,45
2024,CD,BDD,45
Download,NNP,O,45
here,RB,O,45
https,NN,O,45
:,:,O,45
/,SYM,O,45
/,SYM,O,45
acl.cc,NNP,O,45
/,SYM,O,45
xnmMeWML,NNP,O,45
To,TO,O,45
open,VB,O,45
",",",",O,45
input,NN,O,45
ABCD,NNP,O,45
using,VBG,O,45
first,JJ,O,45
4,CD,O,45
letters,NNS,O,45
of,IN,O,45
your,PRP$,O,45
name,NN,O,45
in,IN,O,45
UPPERCASE,NNP,O,45
followed,VBN,O,45
by,IN,O,45
first,JJ,O,45
4,CD,O,45
digit,NN,O,45
of,IN,O,45
your,PRP$,O,45
DOB,NNP,O,45
.,.,O,45
For,IN,O,45
queries,NNS,O,45
",",",",O,45
call,VB,O,45
1234567890,CD,O,45
-,HYPH,O,45
AU,NNP,CBNK,45
Bank,NNP,CBNK,45
"""",'',O,45
"""",``,O,46
Dear,NNP,O,46
Customer,NNP,O,46
",",",",O,46
statement,NN,O,46
of,IN,O,46
credit,NN,O,46
card,NN,O,46
number,NN,O,46
ending,VBG,O,46
with,IN,O,46
8577,CD,CNUM,46
for,IN,O,46
month,NN,O,46
of,IN,O,46
November,NNP,O,46
is,VBZ,O,46
available,JJ,O,46
at,IN,O,46
https,NN,O,46
:,:,O,46
/,SYM,O,46
/,SYM,O,46
fedmobile.federalbank.co.in,NN,O,46
/,SYM,O,46
download-fedmobile,JJ,O,46
/,.,O,46
.,.,O,46
Total,JJ,O,46
due,JJ,O,46
is,VBZ,O,46
Rs,NNS,CDUE,46
.6216.24,CD,CDUE,46
",",",",O,46
min,NN,O,46
due,JJ,O,46
is,VBZ,O,46
Rs,NNS,MDUE,46
.4610,NN,MDUE,46
and,CC,O,46
due,JJ,O,46
on,IN,O,46
09,CD,BDD,46
/,SYM,BDD,46
12,CD,BDD,46
/,SYM,BDD,46
23,CD,BDD,46
-,HYPH,O,46
Federal,NNP,CBNK,46
Bank,NNP,CBNK,46
"""",``,O,46
Mini,JJ,O,47
statement,NN,O,47
for,IN,O,47
credit,NN,O,47
card,NN,O,47
number,NN,O,47
ending,VBG,O,47
with,IN,O,47
0251,CD,CNUM,47
.,.,O,47
Total,JJ,O,47
due,JJ,O,47
Rs,NNS,CDUE,47
.45562.78,CD,CDUE,47
.,.,O,47
Minimum,JJ,O,47
due,JJ,O,47
Rs,NNS,MDUE,47
.8167.06,CD,MDUE,47
.,.,O,47
Payment,NN,O,47
due,IN,O,47
on,IN,O,47
08,CD,BDD,47
/,SYM,BDD,47
11,CD,BDD,47
/,SYM,BDD,47
23,CD,BDD,47
.,.,O,47
For,IN,O,47
more,JJR,O,47
details,NNS,O,47
visit,VB,O,47
https,NN,O,47
:,:,O,47
/,SYM,O,47
/,SYM,O,47
fedmobile.federalbank.co.in,NN,O,47
/,SYM,O,47
download-fedmobile,JJ,O,47
/,SYM,O,47
-,HYPH,O,47
Federal,NNP,CBNK,47
Bank,NNP,CBNK,47
"""",'',O,48
Your,PRP$,O,48
Bajaj,NNP,O,48
Finserv,NNP,O,48
DBS,NNP,CBNK,48
Bank,NNP,CBNK,48
SuperCard,NNP,O,48
*,NNP,O,48
*,NFP,O,48
9004,CD,CNUM,48
statement,NN,O,48
is,VBZ,O,48
sent,VBN,O,48
on,IN,O,48
email,NN,O,48
registered,VBN,O,48
with,IN,O,48
the,DT,O,48
bank,NN,O,48
Total,NNP,O,48
Due,NNP,O,48
"INR65,829.90",NNP,CDUE,48
Min,NNP,O,48
Due,NNP,O,48
"INR3,750.44",NN,MDUE,48
Pay,NN,O,48
by,IN,O,48
05,CD,BDD,48
-,HYPH,BDD,48
09,CD,BDD,48
-,HYPH,BDD,48
23,CD,BDD,48
.,.,O,48
"""",'',O,48
"""",``,O,49
Bajaj,NNP,O,49
Finserv,NNP,O,49
DBS,NNP,CBNK,49
Bank,NNP,CBNK,49
Super,NNP,O,49
Card,NNP,O,49
*,NFP,O,49
*,NFP,O,49
9004,CD,CNUM,49
statement,NN,O,49
is,VBZ,O,49
emailed,VBN,O,49
to,IN,O,49
you,PRP,O,49
.,.,O,49
Due,IN,O,49
Date,NNP,O,49
:,:,O,49
05,CD,BDD,49
-,HYPH,BDD,49
02,CD,BDD,49
-,SYM,BDD,49
24,CD,BDD,49
.,.,O,49
Total,JJ,O,49
Due,NNP,O,49
:,:,O,49
INR,NNP,CDUE,49
"66,922.05",NN,CDUE,49
Min,NNP,O,49
Due,NN,O,49
:,:,O,49
INR,NNP,MDUE,49
"7,814.10",CD,MDUE,49
.,.,O,49
To,TO,O,49
view,VB,O,49
statement,NN,O,49
",",",",O,49
visit,VB,O,49
DBS,NNP,O,49
Card,NNP,O,49
+,NNP,O,49
App,NNP,O,49
>,XX,O,49
Cards,NNP,O,49
Menu,NNP,O,49
>,XX,O,49
Transactions,NNPS,O,49
Statements,NNS,O,49
.,.,O,49
"""",'',O,49
"""",``,O,50
Dear,JJ,O,50
card,NN,O,50
holder,NN,O,50
",",",",O,50
Your,PRP$,O,50
Statement,NNP,O,50
/,SYM,O,50
Ebill,NNP,O,50
for,IN,O,50
Credit,NNP,O,50
Card,NNP,O,50
ending,VBG,O,50
3349,CD,CNUM,50
is,VBZ,O,50
sent,VBN,O,50
to,IN,O,50
your,PRP$,O,50
email,NN,O,50
.,.,O,50
Total,JJ,O,50
Amt,NNP,O,50
due,JJ,O,50
is,VBZ,O,50
Rs,NNS,CDUE,50
.,.,CDUE,50
"11,248.00",CD,CDUE,50
and,CC,O,50
Min,NNP,O,50
Amt,NNP,O,50
Due,NNP,O,50
is,VBZ,O,50
Rs,NNS,MDUE,50
.,.,MDUE,50
570.00,CD,MDUE,50
.,.,O,50
Pay,VBN,O,50
by,IN,O,50
Date,NNP,O,50
16,CD,O,50
-,HYPH,O,50
MAR,NNP,O,50
-,HYPH,O,50
24,CD,O,50
.,.,O,50
Non-Payment,NN,O,50
of,IN,O,50
credit,NN,O,50
card,NN,O,50
dues,NNS,O,50
by,IN,O,50
due,JJ,O,50
date,NN,O,50
attracts,VBZ,O,50
Rollover,NNP,O,50
Interest,NNP,O,50
/,SYM,O,50
Charges,NNS,O,50
applicable,JJ,O,50
as,IN,O,50
per,IN,O,50
T,NNP,O,50
&,CC,O,50
C,NNP,O,50
of,IN,O,50
the,DT,O,50
card,NN,O,50
variant,NN,O,50
.,.,O,50
To,TO,O,50
download,VB,O,50
statement,NN,O,50
",",",",O,50
click,VB,O,50
https,NN,O,50
:,:,O,50
/,SYM,O,50
/,SYM,O,50
unioncards.unionbankofindia.co.in,NNP,O,50
/,SYM,O,50
portal,JJ,O,50
/,SYM,O,50
stmtDownload,NN,O,50
-,:,O,50
Union,NNP,CBNK,50
Bank,NNP,CBNK,50
of,IN,CBNK,50
India,NNP,CBNK,50
"""",'',O,50
"""",``,O,51
Dear,NNP,O,51
Customer,NNP,O,51
",",",",O,51
e-statement,NN,O,51
of,IN,O,51
Credit,NNP,O,51
Card,NNP,O,51
ending,VBG,O,51
2006,CD,CNUM,51
is,VBZ,O,51
sent,VBN,O,51
to,IN,O,51
your,PRP$,O,51
email,NN,O,51
.,.,O,51
Total,JJ,O,51
Amt,NNP,O,51
due,JJ,O,51
Rs,NN,CDUE,51
".98,245.17",NN,CDUE,51
",",",",O,51
Min,NNP,O,51
Amt,NNP,O,51
Due,NNP,O,51
Rs,NNPS,MDUE,51
".51,363.25",NN,MDUE,51
",",",",O,51
payable,JJ,O,51
by,IN,O,51
15,CD,BDD,51
-,HYPH,BDD,51
MAY,NNP,BDD,51
-,HYPH,BDD,51
24,CD,BDD,51
.,.,O,51
Non-Payment,NN,O,51
of,IN,O,51
dues,NNS,O,51
will,MD,O,51
attract,VB,O,51
Interest,NNP,O,51
/,SYM,O,51
Charges,NNPS,O,51
as,IN,O,51
per,IN,O,51
TC,NNP,O,51
of,IN,O,51
the,DT,O,51
card,NN,O,51
variant,NN,O,51
.,.,O,51
To,TO,O,51
download,VB,O,51
statement,NN,O,51
",",",",O,51
click,VB,O,51
https,NN,O,51
:,:,O,51
/,SYM,O,51
/,SYM,O,51
unioncards.unionbankofindia.co.in,NNP,O,51
/,SYM,O,51
portal,JJ,O,51
/,SYM,O,51
stmtDownload,NN,O,51
-,:,O,51
Union,NNP,CBNK,51
Bank,NNP,CBNK,51
of,IN,CBNK,51
India,NNP,CBNK,51
"""",'',O,51
"""",``,O,52
Spent,NNP,O,52
Card,NNP,O,52
no,UH,O,52
.,.,O,52
XX3946,NNP,CNUM,52
INR,NNP,DAMT,52
1,CD,DAMT,52
23,CD,O,52
-,HYPH,O,52
11,CD,O,52
-,SYM,O,52
23,CD,O,52
12,CD,O,52
:,SYM,O,52
12,CD,O,52
:,SYM,O,52
59,CD,O,52
BharatNXT,NNP,O,52
Avl,NNP,O,52
Lmt,NNP,O,52
INR,NNP,ALIM,52
76999,CD,ALIM,52
SMS,NNP,O,53
BLOCK,NNP,O,53
3946,CD,O,53
to,IN,O,53
919951860002,CD,O,53
",",",",O,53
if,IN,O,53
not,RB,O,53
you,PRP,O,53
-,HYPH,O,53
Axis,NNP,CBNK,53
Bank,NNP,CBNK,53
"""",'',O,53
"""",``,O,54
We,PRP,O,54
have,VBP,O,54
received,VBN,O,54
payment,NN,O,54
of,IN,O,54
Rs,NNS,CAMT,54
".15,000.00",NNP,CAMT,54
via,IN,O,54
Electronic,NNP,O,54
Bill,NNP,O,54
Pay,NNP,O,54
&,CC,O,54
the,DT,O,54
same,JJ,O,54
has,VBZ,O,54
been,VBN,O,54
credited,VBN,O,54
to,IN,O,54
your,PRP$,O,54
SBI,NNP,CBNK,54
Credit,NNP,O,54
Card,NNP,O,54
.,.,O,54
Your,PRP$,O,54
available,JJ,O,54
limit,NN,O,54
is,VBZ,O,54
Rs,NNS,ALIM,54
".49,807.63",NN,ALIM,54
.,.,O,54
"""",'',O,54
"""",``,O,55
INR,NNP,DAMT,55
100,CD,DAMT,55
spent,VBN,O,55
on,IN,O,55
Kotak,NNP,O,55
Bank,NNP,O,55
Card,NNP,O,55
x2999,NNP,CNUM,55
on,IN,O,55
03,CD,O,55
-,HYPH,O,55
FEB,NNP,O,55
-,HYPH,O,55
2024,CD,O,55
at,IN,O,55
UPI,NNP,DTO,55
-,HYPH,DTO,55
403465493319,NNP,DTO,55
-,HYPH,DTO,55
RAJEN,NNP,DTO,55
.,.,O,55
